	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
11	PF3D7_0208200	PF3D7_0208200.1	169	PF3D7_0208200	KRR1 small subunit processome component, putative	KRR1	None	PF17903			GO:0003723	GO:0006364	RNA binding	rRNA processing	GO:0005730;GO:0005634;GO:0030688;GO:0032040	nucleolus;nucleus;preribosome, small subunit precursor;small-subunit processome			GO:0006364;GO:0042274	rRNA processing;ribosomal small subunit biogenesis	O96169
12	PF3D7_0212200	PF3D7_0212200.1	170	PF3D7_0212200	ribosomal protein L12, mitochondrial, putative		None	PF00542	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022625;GO:0005739;GO:0005634	cytosolic large ribosomal subunit;mitochondrion;nucleus	structural constituent of ribosome	GO:0003735	GO:0006412	translation	O96202
13	PF3D7_0212900	PF3D7_0212900.1	171	PF3D7_0212900	arginyl-tRNA--protein transferase	ATEL1	None	PF03588			GO:0004057;GO:0008914	GO:0030163	arginyltransferase activity;leucyltransferase activity	protein catabolic process	GO:0005737	cytoplasm	arginyltransferase activity;catalytic activity;leucyltransferase activity	GO:0004057;GO:0003824;GO:0008914	GO:0016598	protein arginylation	O96210,Q195H6
14	PF3D7_0218200	PF3D7_0218200.1	5	PF3D7_0218200	SUZ domain-containing protein, putative		None	PF12752							GO:0005829	cytosol	rRNA (guanine-N1-)-methyltransferase activity	GO:0008989	GO:0000027	ribosomal large subunit assembly	C6S3B8
15	PF3D7_0218400	PF3D7_0218400.1	172	PF3D7_0218400	ATP-dependent RNA helicase DDX47, putative	DDX47	None	PF00270;PF00271			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0005634	nucleus	RNA helicase activity	GO:0003724	GO:0006364	rRNA processing	A7U5W7,O96264
16	PF3D7_0302800	PF3D7_0302800.1	173	PF3D7_0302800	RNA-binding protein, putative		None				GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005634	nucleus	mRNA binding	GO:0003729			O77316
17	PF3D7_0304400	PF3D7_0304400.1	174	PF3D7_0304400	60S ribosomal protein L44	RPL44	None	PF00935	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022625;GO:0005634	cytosolic large ribosomal subunit;nucleus	structural constituent of ribosome	GO:0003735	GO:0006412	translation	O97231
18	PF3D7_0307100	PF3D7_0307100.1	175	PF3D7_0307100	40S ribosomal protein S12, putative	RPS12	None	PF01248	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022627;GO:0005634	cytosolic small ribosomal subunit;nucleus	structural constituent of ribosome	GO:0003735	GO:0006412	translation	O97249
19	PF3D7_0309600	PF3D7_0309600.1	176	PF3D7_0309600	60S acidic ribosomal protein P2	PfP2	None	PF00428	GO:0005840	ribosome	GO:0003735	GO:0006414	structural constituent of ribosome	translational elongation	GO:0020036;GO:0009986;GO:0044228;GO:0005634	Maurer's cleft;cell surface;host cell surface;nucleus	RNA binding	GO:0003723	GO:0044409;GO:0051262	entry into host;protein tetramerization	O00806,Q548Y1
20	PF3D7_0309800	PF3D7_0309800.1	177	PF3D7_0309800	YTH domain-containing protein 2	YTH2	None	PF04146			GO:0003723		RNA binding		GO:0005737	cytoplasm	N6-methyladenosine-containing RNA binding;mRNA binding	GO:1990247;GO:0003729	GO:0061157;GO:0006417	mRNA destabilization;regulation of translation	O77335
21	PF3D7_0310000	PF3D7_0310000.1	6	PF3D7_0310000	50S ribosomal protein L9, apicoplast, putative		None	PF01281	GO:0005840	ribosome					GO:0020011	apicoplast					Q9NLA7
22	PF3D7_0311100	PF3D7_0311100.1	178	PF3D7_0311100	pre-mRNA splicing factor, putative		None	PF01480				GO:0006397		mRNA processing	GO:0005634	nucleus					O77355
23	PF3D7_0313500	PF3D7_0313500.1	7	PF3D7_0313500	Ras-like G protein	PfG	None	PF01926;PF14714			GO:0005525		GTP binding		GO:0020036;GO:0005829	Maurer's cleft;cytosol	GTPase activity	GO:0003924			A0A0P0ZF19,O77338
24	PF3D7_0316100	PF3D7_0316100.1	8	PF3D7_0316100	ribosomal protein L27, mitochondrial, putative		None	PF01016	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0005762;GO:0005739	mitochondrial large ribosomal subunit;mitochondrion	structural constituent of ribosome	GO:0003735			Q9NDU6
25	PF3D7_0317700	PF3D7_0317700.1	9	PF3D7_0317700	CPSF (cleavage and polyadenylation specific factor), subunit A, putative		None	PF03178	GO:0005634	nucleus	GO:0003676;GO:0005515	GO:0006281	nucleic acid binding;protein binding	DNA repair	GO:0031461;GO:0005634	cullin-RING ubiquitin ligase complex;nucleus	damaged DNA binding	GO:0003684	GO:0006289;GO:0043161	nucleotide-excision repair;proteasome-mediated ubiquitin-dependent protein catabolic process	C7DU24,O77380,Q8IFS8,Q9U0N9
26	PF3D7_0319500	PF3D7_0319500.1	10	PF3D7_0319500	RNA-binding protein, putative		None	PF00076			GO:0003676		nucleic acid binding		GO:0005686;GO:0071011	U2 snRNP;precatalytic spliceosome	RNA binding	GO:0003723	GO:0000398	mRNA splicing, via spliceosome	O97318
27	PF3D7_0321800	PF3D7_0321800.1	179	PF3D7_0321800	WD repeat-containing protein, putative		None				GO:0005515		protein binding		GO:0005634;GO:0071011	nucleus;precatalytic spliceosome			GO:0008380	RNA splicing	O97292
28	PF3D7_0322000	PF3D7_0322000.1	180	PF3D7_0322000	peptidyl-prolyl cis-trans isomerase	CYP19A	None	PF00160			GO:0003755	GO:0006457;GO:0000413	peptidyl-prolyl cis-trans isomerase activity	protein folding;protein peptidyl-prolyl isomerization	GO:0020036;GO:0005737;GO:0005829;GO:0005739;GO:0005634	Maurer's cleft;cytoplasm;cytosol;mitochondrion;nucleus	cyclosporin A binding;peptidyl-prolyl cis-trans isomerase activity	GO:0016018;GO:0003755	GO:0006457;GO:0000413	protein folding;protein peptidyl-prolyl isomerization	Q25756,Q76NN7
29	PF3D7_0323500	PF3D7_0323500.1	181	PF3D7_0323500	survival motor neuron-like protein	SMN	None								GO:0005634;GO:0005681	nucleus;spliceosomal complex	RNA binding;nuclease activity	GO:0003723;GO:0004518			O97304
30	PF3D7_0323700	PF3D7_0323700.1	182	PF3D7_0323700	U4/U6.U5 tri-snRNP-associated protein 1, putative	SART1	None	PF03343				GO:0000398		mRNA splicing, via spliceosome	GO:0046540;GO:0005634	U4/U6 x U5 tri-snRNP complex;nucleus			GO:0045292;GO:0000481	mRNA cis splicing, via spliceosome;maturation of 5S rRNA	O97303,Q9BJX1,Q9GTW4
31	PF3D7_0323800	PF3D7_0323800.1	183	PF3D7_0323800	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus	mRNA binding	GO:0003729			O97306
32	PF3D7_0402000	PF3D7_0402000.1	184	PF3D7_0402000	Plasmodium exported protein (PHISTa), unknown function		None	PF09687	GO:0016021	integral component of membrane					GO:0020036;GO:0044538;GO:0005634;GO:0020005	Maurer's cleft;host cell periphery;nucleus;symbiont-containing vacuole membrane	mRNA binding;protein binding	GO:0003729;GO:0005515			Q8I206
33	PF3D7_0408500	PF3D7_0408500.1	185	PF3D7_0408500	flap endonuclease 1	FEN1	None	PF00752;PF00867	GO:0005739;GO:0005730;GO:0005654	mitochondrion;nucleolus;nucleoplasm	GO:0003677;GO:0003824;GO:0016788;GO:0000287;GO:0004518	GO:0006260;GO:0043137;GO:0006284	DNA binding;catalytic activity;hydrolase activity, acting on ester bonds;magnesium ion binding;nuclease activity	DNA replication;DNA replication, removal of RNA primer;base-excision repair	GO:0005634	nucleus	5'-3' exonuclease activity;5'-flap endonuclease activity;endodeoxyribonuclease activity;flap endonuclease activity	GO:0008409;GO:0017108;GO:0004520;GO:0048256			Q7K734,Q9GZ01
34	PF3D7_0409200	PF3D7_0409200.1	11	PF3D7_0409200	protein SOF1, putative	SOF1	None	PF00400;PF04158			GO:0005515	GO:0016567	protein binding	protein ubiquitination	GO:0080008;GO:0005730;GO:0032040;GO:0005732	Cul4-RING E3 ubiquitin ligase complex;nucleolus;small-subunit processome;sno(s)RNA-containing ribonucleoprotein complex			GO:0000462;GO:0000154	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);rRNA modification	Q9U0J4
35	PF3D7_0409800	PF3D7_0409800.1	12	PF3D7_0409800	zinc finger protein, putative		None	PF12756							GO:0005634;GO:0030687	nucleus;preribosome, large subunit precursor			GO:0042273	ribosomal large subunit biogenesis	Q9U0I8
36	PF3D7_0411400	PF3D7_0411400.1	13	PF3D7_0411400	DEAD box ATP-dependent RNA helicase, putative		None	PF00270;PF00271			GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0005634	nucleus	RNA helicase activity	GO:0003724	GO:0016070;GO:0006364	RNA metabolic process;rRNA processing	Q9U0H4
37	PF3D7_0414500	PF3D7_0414500.1	14	PF3D7_0414500	male development protein MD5, putative		None	PF00076			GO:0003729;GO:0003676		mRNA binding;nucleic acid binding				nucleic acid binding	GO:0003676	GO:0016070	RNA metabolic process	Q8I1U3
38	PF3D7_0414700	PF3D7_0414700.1	186	PF3D7_0414700	GTP-binding protein, putative		None	PF01926;PF17835			GO:0005525		GTP binding		GO:0020011	apicoplast	GTP binding	GO:0005525			Q8I1U1
39	PF3D7_0415100	PF3D7_0415100.1	187	PF3D7_0415100	25S rRNA (uridine-N(3))-methyltransferase, putative		None	PF10354							GO:0005737	cytoplasm	rRNA (uridine-N3-)-methyltransferase activity	GO:0070042	GO:0070475	rRNA base methylation	Q8I1T7
40	PF3D7_0415500	PF3D7_0415500.1	188	PF3D7_0415500	nuclear cap-binding protein subunit 2, putative	CBP20	None	PF00076	GO:0005846;GO:0005634	nuclear cap binding complex;nucleus	GO:0000339;GO:0003676	GO:0045292	RNA cap binding;nucleic acid binding	mRNA cis splicing, via spliceosome	GO:0005846	nuclear cap binding complex	RNA cap binding	GO:0000339	GO:0006397;GO:0000398	mRNA processing;mRNA splicing, via spliceosome	Q8I1T2
41	PF3D7_0416200	PF3D7_0416200.1	189	PF3D7_0416200	PRKR-interacting protein 1, putative		None	PF06658			GO:0003725		double-stranded RNA binding		GO:0005730	nucleolus	double-stranded RNA binding;protein kinase binding;protein kinase inhibitor activity	GO:0003725;GO:0019901;GO:0004860	GO:0006469	negative regulation of protein kinase activity	Q8I1S5
42	PF3D7_0503800	PF3D7_0503800.1	15	PF3D7_0503800	60S ribosomal protein L31	RPL31	None	PF01198	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022625;GO:0005634	cytosolic large ribosomal subunit;nucleus	structural constituent of ribosome	GO:0003735	GO:0002181;GO:0006412	cytoplasmic translation;translation	Q8I463
43	PF3D7_0504400	PF3D7_0504400.1	16	PF3D7_0504400	ATP-dependent helicase, putative		None	PF00270;PF00271;PF08152			GO:0005524;GO:0003723;GO:0004386;GO:0003676		ATP binding;RNA binding;helicase activity;nucleic acid binding		GO:0020011;GO:0005730	apicoplast;nucleolus	RNA binding;RNA helicase activity;helicase activity;protein binding	GO:0003723;GO:0003724;GO:0004386;GO:0005515			A7U5W8,Q8I457
44	PF3D7_0507600	PF3D7_0507600.1	17	PF3D7_0507600	protein CAF40, putative	CAF40	None	PF04078	GO:0030014	CCR4-NOT complex		GO:0006402		mRNA catabolic process	GO:0030014;GO:0030015;GO:0000932;GO:0005634	CCR4-NOT complex;CCR4-NOT core complex;P-body;nucleus			GO:0030154;GO:0017148	cell differentiation;negative regulation of translation	Q8I427
45	PF3D7_0508700	PF3D7_0508700.1	190	PF3D7_0508700	pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative	PRP5	None	PF00270;PF00271			GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0005634	nucleus	ATP-dependent activity, acting on RNA;RNA helicase activity	GO:0008186;GO:0003724	GO:0000398	mRNA splicing, via spliceosome	Q8I416
46	PF3D7_0510100	PF3D7_0510100.1	191	PF3D7_0510100	KH domain-containing protein, putative		None		GO:0005634	nucleus	GO:0003723		RNA binding		GO:0005634	nucleus	RNA binding	GO:0003723			Q8I403
47	PF3D7_0512900	PF3D7_0512900.1	192	PF3D7_0512900	AKAP-like protein	AKAL	None	PF10469							GO:0005737;GO:0005829;GO:0005634	cytoplasm;cytosol;nucleus	AMP binding;protein binding;protein kinase A regulatory subunit binding	GO:0016208;GO:0005515;GO:0034237	GO:0010738	regulation of protein kinase A signaling	Q8I3X8
48	PF3D7_0513400	PF3D7_0513400.1	193	PF3D7_0513400	GTP-binding protein YihA1	YihA1	None	PF01926			GO:0005525		GTP binding		GO:0020011;GO:0005739	apicoplast;mitochondrion	GTPase activity;guanyl nucleotide binding;ribosome binding	GO:0003924;GO:0019001;GO:0043022			C0H4D6
49	PF3D7_0514100	PF3D7_0514100.1	194	PF3D7_0514100	ATP-dependent DNA helicase UvrD	UvrD	None	PF00580;PF13361			GO:0005524;GO:0003677;GO:0003678;GO:0016787		ATP binding;DNA binding;DNA helicase activity;hydrolase activity		GO:0005634	nucleus	3'-5' DNA helicase activity;protein binding;single-stranded DNA helicase activity	GO:0043138;GO:0005515;GO:0017116	GO:0006281;GO:0000725	DNA repair;recombinational repair	A0A097PTD0,B8XWZ5,B9VPM5,Q8I3W6
50	PF3D7_0515000	PF3D7_0515000.1	18	PF3D7_0515000	pre-mRNA-splicing factor CWC2, putative	CWC2	None	PF00076;PF16131			GO:0003723;GO:0017070;GO:0046872;GO:0003676;GO:0036002	GO:0045292;GO:0000387	RNA binding;U6 snRNA binding;metal ion binding;nucleic acid binding;pre-mRNA binding	mRNA cis splicing, via spliceosome;spliceosomal snRNP assembly	GO:0000974;GO:0071006;GO:0071007;GO:0005634;GO:0005681	Prp19 complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome;nucleus;spliceosomal complex	U6 snRNA binding;mRNA binding;pre-mRNA binding;protein binding	GO:0017070;GO:0003729;GO:0036002;GO:0005515	GO:0000398;GO:0045787;GO:0000387	mRNA splicing, via spliceosome;positive regulation of cell cycle;spliceosomal snRNP assembly	Q8I3V8
51	PF3D7_0516000	PF3D7_0516000.1	19	PF3D7_0516000	RAP protein, putative		None	PF08373													Q8I3U8
52	PF3D7_0517000	PF3D7_0517000.1	195	PF3D7_0517000	60S ribosomal protein L12, putative		None	PF00298;PF03946	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0022625;GO:0015934;GO:0005634;GO:0005840	cytosolic large ribosomal subunit;large ribosomal subunit;nucleus;ribosome	large ribosomal subunit rRNA binding;rRNA binding;structural constituent of ribosome	GO:0070180;GO:0019843;GO:0003735	GO:0000027;GO:0006412	ribosomal large subunit assembly;translation	Q8I3T8
53	PF3D7_0518100	PF3D7_0518100.1	20	PF3D7_0518100	protein AMR2	AMR2	None	PF08373	GO:0016021	integral component of membrane					GO:0020011	apicoplast			GO:0009657	plastid organization	Q8I3S7
54	PF3D7_0518700	PF3D7_0518700.1	21	PF3D7_0518700	mRNA-binding protein PUF1	PUF1	None	PF00806			GO:0003723		RNA binding		GO:0005737	cytoplasm	mRNA binding	GO:0003729	GO:0010608;GO:0043487;GO:0006417	posttranscriptional regulation of gene expression;regulation of RNA stability;regulation of translation	Q8I3S3,Q8ISI8
55	PF3D7_0519500	PF3D7_0519500.1	22	PF3D7_0519500	CCR4 domain-containing protein 1, putative	CCR4-1	None	PF03372							GO:0030014;GO:0005737;GO:0005634	CCR4-NOT complex;cytoplasm;nucleus	3'-5'-exoribonuclease activity;poly(A)-specific ribonuclease activity	GO:0000175;GO:0004535	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	Q8I3R5
56	PF3D7_0520300	PF3D7_0520300.1	23	PF3D7_0520300	U6 snRNA-associated Sm-like protein LSm2, putative	LSM2	None	PF01423			GO:0003723	GO:0006397	RNA binding	mRNA processing	GO:1990726;GO:0000932;GO:0046540;GO:0005688;GO:0071013;GO:0005622;GO:0005634;GO:0071011;GO:0005732	Lsm1-7-Pat1 complex;P-body;U4/U6 x U5 tri-snRNP complex;U6 snRNP;catalytic step 2 spliceosome;intracellular;nucleus;precatalytic spliceosome;sno(s)RNA-containing ribonucleoprotein complex			GO:0000398	mRNA splicing, via spliceosome	Q8I3Q7
57	PF3D7_0520700	PF3D7_0520700.1	24	PF3D7_0520700	CDC73 domain-containing protein, putative		None	PF05179	GO:0016593	Cdc73/Paf1 complex		GO:0016570;GO:0006368		Histone modification;transcription elongation from RNA polymerase II promoter	GO:0016593	Cdc73/Paf1 complex	RNA polymerase II complex binding	GO:0000993	GO:0032968;GO:0034402	positive regulation of transcription elongation from RNA polymerase II promoter;recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	Q8I3Q4
58	PF3D7_0521700	PF3D7_0521700.1	25	PF3D7_0521700	ATP-dependent RNA helicase DDX1, putative	DDX1	None	PF00270;PF00271;PF00622			GO:0005524;GO:0003724;GO:0004527;GO:0004386;GO:0003676;GO:0005515		ATP binding;RNA helicase activity;exonuclease activity;helicase activity;nucleic acid binding;protein binding		GO:0005634	nucleus			GO:0006364	rRNA processing	A7U5W9,Q8I3P6
59	PF3D7_0522800	PF3D7_0522800.1	26	PF3D7_0522800	pre-mRNA-splicing factor BUD31, putative	BUD31	None	PF01125	GO:0005634	nucleus					GO:0005686;GO:0005634;GO:0005681	U2 snRNP;nucleus;spliceosomal complex			GO:0008380;GO:0000380;GO:0000398	RNA splicing;alternative mRNA splicing, via spliceosome;mRNA splicing, via spliceosome	Q8I3N5
60	PF3D7_0524400	PF3D7_0524400.1	27	PF3D7_0524400	ribosome-interacting GTPase 1, putative	RBG1	None	PF01926;PF02824;PF16897			GO:0005525		GTP binding		GO:0005634	nucleus					A0A0C5D0X8,A0A5K1K870
61	PF3D7_0524600	PF3D7_0524600.1	196	PF3D7_0524600	50S ribosomal protein L12, apicoplast, putative		None	PF00542;PF16320	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0020011;GO:0015934	apicoplast;large ribosomal subunit	structural constituent of ribosome	GO:0003735	GO:0006412	translation	Q8I3L9
62	PF3D7_0525000	PF3D7_0525000.1	28	PF3D7_0525000	zinc finger protein, putative		None				GO:0046872		metal ion binding		GO:0005829;GO:0005634	cytosol;nucleus	nucleic acid binding	GO:0003676			Q8I3L5
63	PF3D7_0525600	PF3D7_0525600.1	29	PF3D7_0525600	RNA methyltransferase, putative		None	PF00588			GO:0003723;GO:0008173;GO:0004482	GO:0006396	RNA binding;RNA methyltransferase activity;mRNA (guanine-N7-)-methyltransferase activity	RNA processing	GO:0005739	mitochondrion					A0A5K1K9E4
64	PF3D7_0528800	PF3D7_0528800.1	30	PF3D7_0528800	nuclear GTP-binding protein, putative		None	PF08701			GO:0005525;GO:0016787		GTP binding;hydrolase activity		GO:0005730	nucleolus	GTPase activity	GO:0003924			Q8I3H9
65	PF3D7_0531400	PF3D7_0531400.1	197	PF3D7_0531400	G-patch domain-containing protein, putative		None	PF01585			GO:0003676		nucleic acid binding		GO:0071008	U2-type post-mRNA release spliceosomal complex			GO:0000390	spliceosomal complex disassembly	Q8I3F4
66	PF3D7_0602000	PF3D7_0602000.1	198	PF3D7_0602000	zinc finger protein, putative		None				GO:0046872		metal ion binding								C6KSM0
67	PF3D7_0602600	PF3D7_0602600.1	199	PF3D7_0602600	SAC3 domain-containing protein, putative		None	PF03399							GO:0005737;GO:0005634;GO:0070390	cytoplasm;nucleus;transcription export complex 2			GO:0006406	mRNA export from nucleus	C6KSM6
68	PF3D7_0603100	PF3D7_0603100.1	31	PF3D7_0603100	RNA-binding protein, putative		None		GO:0005737;GO:0005874	cytoplasm;microtubule	GO:0003723;GO:0003676;GO:0005200		RNA binding;nucleic acid binding;structural constituent of cytoskeleton								C6KSN1
69	PF3D7_0604500	PF3D7_0604500.1	200	PF3D7_0604500	GYF domain-containing protein, putative		None	PF02213			GO:0005515		protein binding		GO:0005634	nucleus	mRNA binding	GO:0003729			C6KSP3,Q25768,Q25772
70	PF3D7_0605100	PF3D7_0605100.1	32	PF3D7_0605100	KH domain-containing protein, putative	KH1	None	PF00013			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	N6-methyladenosine-containing RNA binding;RNA binding;mRNA binding	GO:1990247;GO:0003723;GO:0003729	GO:0010468	regulation of gene expression	C6KSP9
71	PF3D7_0606100	PF3D7_0606100.1	201	PF3D7_0606100	RNA-binding protein, putative		None	PF00076	GO:0032021	NELF complex	GO:0003676	GO:0006355	nucleic acid binding	regulation of transcription, DNA-templated	GO:0032021	NELF complex	RNA binding	GO:0003723	GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter	C6KSQ9
72	PF3D7_0606500	PF3D7_0606500.1	202	PF3D7_0606500	polypyrimidine tract-binding protein, putative	PTB	None	PF00076;PF11835;PF13893			GO:0003676		nucleic acid binding		GO:0005634	nucleus	mRNA binding;poly-pyrimidine tract binding	GO:0003729;GO:0008187	GO:0008380;GO:0043484;GO:0006417	RNA splicing;regulation of RNA splicing;regulation of translation	C6KSR3
73	PF3D7_0606600	PF3D7_0606600.1	203	PF3D7_0606600	WD repeat-containing protein, putative		None				GO:0005515		protein binding		GO:0000932;GO:0005634	P-body;nucleus			GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	C6KSR4
74	PF3D7_0610100	PF3D7_0610100.1	33	PF3D7_0610100	pre-mRNA-splicing factor SLU7, putative	SLU7	None	PF11708			GO:0030628;GO:0000386	GO:0000398	pre-mRNA 3'-splice site binding;second spliceosomal transesterification activity	mRNA splicing, via spliceosome	GO:0005681	spliceosomal complex			GO:0008380;GO:0000375;GO:0000350	RNA splicing;RNA splicing, via transesterification reactions;generation of catalytic spliceosome for second transesterification step	C6KSU8
75	PF3D7_0610200	PF3D7_0610200.1	204	PF3D7_0610200	RNA-binding protein 25, putative	RBM25	None	PF00076;PF01480			GO:0003723;GO:0003676	GO:0006397	RNA binding;nucleic acid binding	mRNA processing	GO:0005634	nucleus					C6KSU9
76	PF3D7_0615400	PF3D7_0615400.1	34	PF3D7_0615400	ribonuclease, putative		None	PF00773;PF17849			GO:0003723;GO:0008859;GO:0004540		RNA binding;exoribonuclease II activity;ribonuclease activity		GO:0000932;GO:0000178;GO:0005634	P-body;exosome (RNase complex);nucleus	3'-5'-exoribonuclease activity;ribonuclease activity	GO:0000175;GO:0004540	GO:0006396;GO:0006402	RNA processing;mRNA catabolic process	C6KSZ5
77	PF3D7_0619200	PF3D7_0619200.1	35	PF3D7_0619200	conserved Plasmodium protein, unknown function		None														C6KT32
78	PF3D7_0619900	PF3D7_0619900.1	205	PF3D7_0619900	splicing factor 3A subunit 2, putative	SF3A2	None	PF12874;PF16835	GO:0005634	nucleus	GO:0003676;GO:0008270		nucleic acid binding;zinc ion binding		GO:0005686;GO:0071004;GO:0071013;GO:0005681	U2 snRNP;U2-type prespliceosome;catalytic step 2 spliceosome;spliceosomal complex			GO:0008380;GO:0000245	RNA splicing;spliceosomal complex assembly	C6KT39
79	PF3D7_0621300	PF3D7_0621300.1	36	PF3D7_0621300	mRNA-binding protein PUF3	PUF3	None				GO:0003723		RNA binding		GO:0005737;GO:0005730	cytoplasm;nucleolus	RNA binding;mRNA binding	GO:0003723;GO:0003729	GO:0006417	regulation of translation	C6KT51
